geoName,김건희,김정숙,김혜경,timeframe
전라북도,100,0,0,2023-11-01 2023-11-30
제주특별자치도,100,0,0,2023-11-01 2023-11-30
충청남도,100,0,0,2023-11-01 2023-11-30
충청북도,100,0,0,2023-11-01 2023-11-30
강원도,100,0,0,2023-12-01 2023-12-31
경기도,97,3,0,2023-12-01 2023-12-31
경상남도,71,29,0,2023-12-01 2023-12-31
경상북도,75,25,0,2023-12-01 2023-12-31
광주광역시,100,0,0,2023-12-01 2023-12-31
대구광역시,100,0,0,2023-12-01 2023-12-31
대전광역시,100,0,0,2023-12-01 2023-12-31
부산광역시,100,0,0,2023-12-01 2023-12-31
서울특별시,96,4,0,2023-12-01 2023-12-31
울산광역시,100,0,0,2023-12-01 2023-12-31
인천광역시,100,0,0,2023-12-01 2023-12-31
전라남도,100,0,0,2023-12-01 2023-12-31
전라북도,100,0,0,2023-12-01 2023-12-31
제주특별자치도,100,0,0,2023-12-01 2023-12-31
충청남도,100,0,0,2023-12-01 2023-12-31
충청북도,100,0,0,2023-12-01 2023-12-31
강원도,100,0,0,2024-01-01 2024-01-31
경기도,93,7,0,2024-01-01 2024-01-31
경상남도,100,0,0,2024-01-01 2024-01-31
경상북도,100,0,0,2024-01-01 2024-01-31
광주광역시,100,0,0,2024-01-01 2024-01-31
대구광역시,100,0,0,2024-01-01 2024-01-31
대전광역시,100,0,0,2024-01-01 2024-01-31
부산광역시,100,0,0,2024-01-01 2024-01-31
서울특별시,91,6,3,2024-01-01 2024-01-31
울산광역시,100,0,0,2024-01-01 2024-01-31
인천광역시,100,0,0,2024-01-01 2024-01-31
전라남도,100,0,0,2024-01-01 2024-01-31
전라북도,100,0,0,2024-01-01 2024-01-31
제주특별자치도,0,0,0,2024-01-01 2024-01-31
충청남도,100,0,0,2024-01-01 2024-01-31
충청북도,100,0,0,2024-01-01 2024-01-31
강원도,100,0,0,2024-02-01 2024-02-29
경기도,87,0,13,2024-02-01 2024-02-29
경상남도,100,0,0,2024-02-01 2024-02-29
경상북도,100,0,0,2024-02-01 2024-02-29
광주광역시,100,0,0,2024-02-01 2024-02-29
대구광역시,100,0,0,2024-02-01 2024-02-29
대전광역시,100,0,0,2024-02-01 2024-02-29
부산광역시,100,0,0,2024-02-01 2024-02-29
서울특별시,81,5,14,2024-02-01 2024-02-29
울산광역시,0,0,0,2024-02-01 2024-02-29
인천광역시,100,0,0,2024-02-01 2024-02-29
전라남도,100,0,0,2024-02-01 2024-02-29
전라북도,100,0,0,2024-02-01 2024-02-29
제주특별자치도,0,0,0,2024-02-01 2024-02-29
충청남도,100,0,0,2024-02-01 2024-02-29
충청북도,100,0,0,2024-02-01 2024-02-29
강원도,0,0,0,2024-03-01 2024-03-31
경기도,82,0,18,2024-03-01 2024-03-31
경상남도,100,0,0,2024-03-01 2024-03-31
